,tipo,barrio,sup,pricem2,habs
21930,apartment,Palermo,175.0,4857.14,3.0
21932,apartment,Balvanera,40.0,2325.0,2.0
21933,apartment,Flores,35.0,1928.57,1.0
21934,apartment,Caballito,79.0,3194.94,3.0
21935,apartment,Almagro,72.0,2347.22,3.0
21936,apartment,Puerto Madero,66.0,3181.82,2.0
21937,apartment,Caballito,82.0,2682.93,3.0
21938,apartment,Palermo,40.0,4725.0,2.0
21939,apartment,Villa Pueyrredón,55.0,2400.0,2.0
21940,apartment,Caballito,66.0,3296.97,3.0
21941,apartment,Villa Urquiza,70.0,2357.14,3.0
21942,apartment,Villa Pueyrredón,51.0,2489.22,2.0
21943,apartment,Villa Devoto,405.0,2074.07,5.0
21944,apartment,Colegiales,27.0,3074.07,1.0
21945,house,Villa Devoto,405.0,2074.07,5.0
21946,apartment,Villa Pueyrredón,51.0,2537.02,2.0
21947,apartment,Villa Crespo,35.0,3228.57,4.0
21948,apartment,Villa Pueyrredón,51.0,2584.9,2.0
21949,apartment,Villa Crespo,36.0,4087.22,4.0
21950,apartment,Villa Pueyrredón,51.0,2632.75,2.0
21951,apartment,Villa Crespo,38.0,3307.89,4.0
21952,apartment,Villa Pueyrredón,51.0,2680.39,2.0
21953,apartment,Villa Crespo,33.0,3557.58,4.0
21954,apartment,Villa Pueyrredón,45.0,2656.44,2.0
21955,apartment,Villa Pueyrredón,45.0,2704.73,2.0
21956,apartment,Villa Crespo,53.0,3284.91,4.0
21957,apartment,Villa Crespo,53.0,3330.19,4.0
21958,apartment,Villa Pueyrredón,68.0,2646.32,2.0
21959,apartment,Villa Pueyrredón,68.0,2694.12,2.0
21960,apartment,Villa Crespo,155.0,4258.06,4.0
21961,apartment,Belgrano,58.0,3503.45,4.0
21962,apartment,Villa Pueyrredón,99.0,1968.69,3.0
21963,apartment,Belgrano,58.0,3867.24,4.0
21964,apartment,Villa Pueyrredón,55.0,2400.0,2.0
21965,apartment,Belgrano,41.0,3675.61,4.0
21966,apartment,Villa Pueyrredón,51.0,2489.22,2.0
21967,apartment,Puerto Madero,160.0,5875.0,4.0
21968,apartment,Belgrano,119.0,3320.17,4.0
21969,apartment,Villa Pueyrredón,51.0,2537.02,2.0
21970,apartment,Puerto Madero,190.0,6052.63,5.0
21971,apartment,Belgrano,58.0,3003.86,4.0
21972,apartment,Villa Pueyrredón,51.0,2584.9,2.0
21974,apartment,Belgrano,58.0,3317.54,4.0
21976,apartment,Villa Pueyrredón,51.0,2632.75,2.0
21977,apartment,Belgrano,41.0,3152.31,4.0
21978,apartment,Villa Pueyrredón,51.0,2680.39,2.0
21980,apartment,Belgrano,119.0,3256.29,4.0
21981,apartment,Villa Pueyrredón,45.0,2656.44,2.0
21982,apartment,Belgrano,36.0,3207.21,4.0
21983,apartment,Belgrano,78.0,2692.31,4.0
21984,apartment,Villa Pueyrredón,45.0,2704.73,2.0
21985,apartment,Belgrano,36.0,3663.89,4.0
21986,apartment,Villa Pueyrredón,68.0,2646.32,2.0
21987,apartment,Belgrano,93.0,3596.35,4.0
21988,apartment,Villa Pueyrredón,68.0,151.1,2.0
21989,apartment,Villa Urquiza,42.0,730.95,2.0
21990,apartment,Belgrano,93.0,4110.75,4.0
21991,apartment,Villa Pueyrredón,99.0,1968.69,3.0
21993,apartment,Villa Urquiza,42.0,730.95,2.0
21994,apartment,Belgrano,93.0,3617.28,4.0
21995,apartment,Villa Urquiza,23.0,956.52,1.0
21996,apartment,Belgrano,93.0,4134.41,4.0
21997,apartment,Villa Urquiza,43.0,697.67,2.0
21998,apartment,Belgrano,204.0,4623.53,4.0
21999,apartment,Belgrano,257.0,4638.13,4.0
22001,apartment,Belgrano,129.0,4631.01,4.0
22002,apartment,Belgrano,153.0,3634.64,4.0
22003,apartment,Chacarita,74.0,1940.19,3.0
22004,apartment,Belgrano,80.0,3112.5,3.0
22005,apartment,Chacarita,92.0,1676.41,3.0
22006,apartment,Chacarita,45.0,1981.62,3.0
22007,apartment,Belgrano,49.0,2142.86,2.0
22008,apartment,Chacarita,45.0,1944.23,3.0
22009,apartment,Congreso,125.0,2400.0,5.0
22010,apartment,Chacarita,36.0,1931.77,3.0
22011,apartment,Monserrat,125.0,2400.0,5.0
22012,apartment,Colegiales,52.0,3788.46,2.0
22013,apartment,Flores,43.0,2200.0,2.0
22014,apartment,San Nicolás,125.0,2400.0,5.0
22015,apartment,Flores,43.0,2151.16,2.0
22016,apartment,Balvanera,125.0,2400.0,5.0
22017,PH,Villa Urquiza,115.0,1947.83,4.0
22018,apartment,Tribunales,125.0,2400.0,5.0
22019,apartment,Villa Ortuzar,47.0,2063.83,1.0
22020,apartment,Villa Urquiza,47.0,2063.83,1.0
22021,apartment,Flores,72.0,2055.56,3.0
22022,apartment,Balvanera,120.0,1650.0,4.0
22024,apartment,Flores,72.0,2194.44,3.0
